Crash Time of Day,Collision Type,Surface Condition,Light,Traffic Control,Driver Substance Abuse,Driver At Fault,Driver Distracted By,Vehicle First Impact Location,Vehicle Second Impact Location,Vehicle Body Type,Vehicle Movement,Speed Limit,Parked Vehicle
4,4,0,0,1,0,0,0,2,2,0,1,45,0
2,3,0,2,5,0,1,1,2,2,4,2,35,0
5,5,0,0,1,0,1,1,5,5,3,2,25,0
0,7,0,2,2,0,0,0,8,8,0,1,25,0
0,0,0,2,2,0,0,0,0,0,0,3,45,0
0,3,0,2,0,0,1,1,3,3,4,2,25,0
0,1,0,0,1,0,1,1,2,2,0,1,15,0
0,3,0,0,0,0,0,0,2,2,0,1,25,0
5,3,0,0,2,0,0,1,2,2,0,1,40,0
3,0,0,2,2,0,0,0,0,0,0,3,35,0
1,3,0,2,3,0,0,0,2,2,8,0,35,0
0,1,1,0,2,0,1,1,2,2,0,1,25,0
0,3,0,0,0,0,0,0,9,10,0,1,35,0
5,0,0,0,2,0,0,0,0,0,13,8,30,1
4,3,0,0,0,0,0,0,6,6,0,1,35,0
1,0,0,0,2,0,1,1,2,2,0,1,35,0
5,0,0,0,1,0,0,0,0,0,0,3,35,0
5,3,0,0,2,0,1,0,2,2,0,5,25,0
0,0,1,0,1,0,0,0,0,0,0,3,40,0
1,0,1,0,2,0,1,1,2,2,0,1,40,0
0,1,0,0,2,0,1,1,0,0,15,13,15,0
4,0,0,0,2,0,0,0,0,0,0,3,25,0
5,4,0,0,1,0,1,0,2,2,0,5,30,0
0,0,0,0,2,0,0,0,0,0,4,3,35,0
4,0,0,0,2,0,1,1,2,2,0,1,35,0
0,2,0,0,2,0,1,0,8,9,0,2,40,0
5,3,0,0,1,0,1,1,9,10,0,5,30,0
4,3,0,0,1,0,1,1,2,2,0,5,35,0
5,12,0,0,2,0,0,0,0,7,1,3,25,0
5,3,0,0,2,0,1,0,2,2,0,5,35,0
4,3,0,0,1,0,0,0,2,2,0,1,10,0
4,0,0,0,2,0,1,0,2,2,13,1,55,0
0,0,0,0,2,0,0,0,0,0,4,3,35,0
4,3,1,0,0,0,1,1,10,11,0,15,5,0
